,jobid,card,slurmid,model_name,batch_size,iterate,E,start_time,end_time,estimated_time,node,color,
30,1654703073,NVIDIAGeForceRTX2080Ti,67200,drq,1,64,E,6/8/2022 23:51,6/8/2022 23:51,6/9/2022 1:42,NVIDIAGeForceRTX2080Ti_0,#C7AFC0,TRUE
31,1654703466,NVIDIAGeForceRTX2080Ti,67203,drq,1,61,E,6/8/2022 23:52,6/8/2022 23:52,6/9/2022 1:45,NVIDIAGeForceRTX2080Ti_0,#C7AFC0,TRUE
32,1654703442,NVIDIAGeForceGTX1080,67204,hf_Bert,8,70,E,6/9/2022 1:24,6/9/2022 1:25,6/9/2022 1:45,NVIDIAGeForceGTX1080_0,#DA3671,TRUE
33,1654703496,NVIDIAGeForceGTX1080,67205,hf_GPT2,2,140,E,6/8/2022 23:52,6/8/2022 23:53,6/9/2022 1:45,NVIDIAGeForceGTX1080_2,#A38C92,TRUE
34,1654703285,NVIDIAGeForceRTX2080Ti,67206,pytorch_unet,4,130,E,6/8/2022 23:53,6/8/2022 23:54,6/9/2022 1:45,NVIDIAGeForceRTX2080Ti_0,#18A653,TRUE
35,1654703253,NVIDIAGeForceGTX1080,67207,vision_maskrcnn,4,168,E,6/9/2022 1:26,6/9/2022 1:28,6/9/2022 1:43,NVIDIAGeForceGTX1080_0,#49FD84,TRUE
36,1654703372,NVIDIAGeForceRTX2080Ti,67208,shufflenet_v2_x1_0,512,1280,E,6/9/2022 1:14,6/9/2022 1:17,6/9/2022 2:08,NVIDIAGeForceRTX2080Ti_0,#4B9485,TRUE
37,1654703192,NVIDIAGeForceGTX1080,67209,densenet121,64,1059,E,6/9/2022 1:28,6/9/2022 1:34,6/9/2022 2:00,NVIDIAGeForceGTX1080_0,#9FD947,TRUE
38,1654702226,NVIDIAGeForceRTX2080Ti,67210,resnext50_32x4d,64,1066,E,6/8/2022 23:55,6/9/2022 0:01,6/9/2022 1:54,NVIDIAGeForceRTX2080Ti_0,#94AB6F,TRUE
39,1654702626,NVIDIAGeForceGTX1080,67211,vgg16,64,1083,E,6/9/2022 1:14,6/9/2022 1:20,6/9/2022 1:51,NVIDIAGeForceGTX1080_1,#9FA8F6,TRUE
