name,model,batch_size,2080,titan,titanxp
timm_efficientnet_1,timm_efficientnet,1,0.9972904845316846,0.9604451719425054,1.003176186945157
timm_efficientnet_2,timm_efficientnet,2,0.9496670042653268,0.9777691842280483,1.0318412350245973
timm_efficientnet_4,timm_efficientnet,4,0.9648741908622868,0.9677313754900949,1.0290456749874068
timm_efficientnet_8,timm_efficientnet,8,0.7822816791920925,0.7702381517039213,0.8310129743323589
timm_efficientnet_16,timm_efficientnet,16,0.45987349878032685,0.45159378735929107,0.6856837936943225
timm_efficientnet_32,timm_efficientnet,32,0.4028861578235717,0.3829111250632628,0.6664817889649572
timm_efficientnet_64,timm_efficientnet,64,0.3944918863995318,0.3770063549727357,0.6552971396298889
vision_maskrcnn_1,vision_maskrcnn,1,0.5097834474073658,0.485314181377145,0.6329630283680528
vision_maskrcnn_2,vision_maskrcnn,2,0.45418700339953205,0.4533197431672699,0.6263763859328599
mobilenet_v2_quantized_qat_1,mobilenet_v2_quantized_qat,1,0.9262169379247603,0.9353394796646097,0.9295642295200102
mobilenet_v2_quantized_qat_2,mobilenet_v2_quantized_qat,2,0.9394826755159754,0.9576143815286022,0.8952756883726335
mobilenet_v2_quantized_qat_4,mobilenet_v2_quantized_qat,4,0.9076290162111867,0.9211796211768642,0.968597743342642
mobilenet_v2_quantized_qat_8,mobilenet_v2_quantized_qat,8,0.787929745377153,0.8264954258863356,0.8454639959620719
mobilenet_v2_quantized_qat_16,mobilenet_v2_quantized_qat,16,0.5616954364401066,0.559590104109572,0.7270294497043998
mobilenet_v2_quantized_qat_32,mobilenet_v2_quantized_qat,32,0.47282089722162485,0.4543730383053612,0.7044095609598972
squeezenet1_1_1,squeezenet1_1,1,1.0454741941737213,1.325046682990927,0.9996027811595536
squeezenet1_1_2,squeezenet1_1,2,1.1387069711651412,1.2836477629071268,1.0146973226279687
squeezenet1_1_4,squeezenet1_1,4,1.1033261591160908,0.9911306390051732,1.0075512653313974
squeezenet1_1_8,squeezenet1_1,8,0.92847430719384,0.7555305341690993,0.8114843900507096
squeezenet1_1_16,squeezenet1_1,16,0.488407291173005,0.47280490849014195,0.6502235974985487
squeezenet1_1_32,squeezenet1_1,32,0.4372900008866774,0.42846237441976015,0.6295280406072667
squeezenet1_1_64,squeezenet1_1,64,0.4374053058940619,0.4360782051674092,0.617059907664377
squeezenet1_1_128,squeezenet1_1,128,0.4409009138862479,0.43359887146690246,0.6023491053436151
squeezenet1_1_256,squeezenet1_1,256,0.44030303918254415,0.4307806052099053,0.5971072947826856
