,task_id,model_name,batch_size,iterate,card,start_time,end_time,node,color
46,1654665025,dcgan,1024,511,NVIDIAGeForceRTX2080Ti,2022-06-08 14:14:59,2022-06-08 14:32:55,NVIDIAGeForceRTX2080Ti_0,#A51B25
47,1654665085,timm_efficientnet,128,4190,NVIDIATITANRTX,2022-06-08 13:54:27,2022-06-08 13:54:27,NVIDIATITANRTX_0,#D597D0
48,1654665043,vgg16,64,1083,NVIDIAGeForceRTX2080Ti,2022-06-08 14:51:04,2022-06-08 14:57:29,NVIDIAGeForceRTX2080Ti_1,#9FA8F6
49,1654665065,squeezenet1_1,256,2587,NVIDIATITANRTX,2022-06-08 14:04:50,2022-06-08 15:34:12,NVIDIATITANRTX_3,#3B5861
50,1654665015,vgg16,64,869,NVIDIAGeForceRTX2080Ti,2022-06-08 14:52:01,2022-06-08 14:57:12,NVIDIAGeForceRTX2080Ti_2,#9FA8F6
51,1654664997,resnet50,64,9273,NVIDIAGeForceGTX1080,2022-06-08 13:16:49,2022-06-08 14:37:55,NVIDIAGeForceGTX1080_2,#B5DAA7
52,1654665089,shufflenet_v2_x1_0,512,1280,NVIDIATITANRTX,2022-06-08 13:17:18,2022-06-08 13:22:31,NVIDIATITANRTX_3,#4B9485
53,1654665053,resnet18,256,1947,NVIDIATITANRTX,2022-06-08 13:22:51,2022-06-08 13:31:18,NVIDIATITANRTX_1,#C28475
54,1654665009,timm_vision_transformer,128,5043,NVIDIAGeForceRTX2080Ti,2022-06-08 15:01:05,2022-06-08 15:38:47,NVIDIAGeForceRTX2080Ti_2,#5CE328
55,1654665077,densenet121,64,1059,NVIDIATITANRTX,2022-06-08 13:31:26,2022-06-08 13:36:44,NVIDIATITANRTX_1,#9FD947
56,1654665059,pytorch_unet,4,144,NVIDIATITANRTX,2022-06-08 14:02:56,2022-06-08 14:03:50,NVIDIATITANRTX_3,#18A653
57,1654665023,timm_efficientnet,64,822,NVIDIAGeForceRTX2080Ti,2022-06-08 14:49:20,2022-06-08 14:51:16,NVIDIAGeForceRTX2080Ti_2,#D597D0
58,1654665079,resnet50,128,5508,NVIDIATITANRTX,2022-06-08 13:55:22,2022-06-08 13:55:22,NVIDIATITANRTX_0,#B5DAA7
59,1654665035,hf_Bert,8,64,NVIDIAGeForceRTX2080Ti,2022-06-08 15:07:07,2022-06-08 15:07:36,NVIDIAGeForceRTX2080Ti_0,#DA3671
