67111,NVIDIAGeForceGTX1080,1654701567,E,2022-06-08 23:20:13,2022-06-08 23:32:38,2022-06-08T23:26:27Z
67113,NVIDIAGeForceGTX1080,1654701591,E,2022-06-08 23:20:45,2022-06-09 00:14:10,2022-06-08T23:47:43Z
67115,NVIDIAGeForceGTX1080,1654701624,E,2022-06-08 23:21:12,2022-06-08 23:21:29,2022-06-08T23:46:50Z
67117,NVIDIAGeForceGTX1080,1654701659,E,2022-06-08 23:21:43,2022-06-08 23:34:14,2022-06-08T23:52:32Z
67120,NVIDIAGeForceGTX1080,1654701685,E,2022-06-08 23:22:14,2022-06-08 23:22:35,2022-06-08T23:46:50Z
67122,NVIDIATITANRTX,1654701718,E,2022-06-08 23:24:03,2022-06-08 23:24:18,2022-06-08T23:46:52Z
67123,NVIDIAGeForceGTX1080,1654701746,E,,,2022-06-09T01:47:19Z
67125,NVIDIATITANRTX,1654701794,E,2022-06-08 23:24:45,2022-06-08 23:47:56,2022-06-09T01:59:31Z
67128,NVIDIATITANRTX,1654701849,E,2022-06-08 23:48:27,2022-06-09 00:27:16,2022-06-09T02:19:00Z
67132,NVIDIATITANRTX,1654701929,E,2022-06-09 00:27:36,2022-06-09 00:28:20,2022-06-09T01:42:40Z
67135,NVIDIATITANRTX,1654701955,E,2022-06-09 00:28:36,2022-06-09 00:30:36,2022-06-09T01:43:57Z
67140,NVIDIAGeForceRTX2080Ti,1654702036,E,2022-06-08 23:28:45,2022-06-08 23:50:45,2022-06-09T02:00:42Z
67142,NVIDIAGeForceRTX2080Ti,1654702090,E,2022-06-08 23:29:18,2022-06-09 00:06:37,2022-06-09T02:18:58Z
67152,NVIDIAGeForceGTX1080,1654702287,E,2022-06-08 23:33:16,2022-06-08 23:33:38,2022-06-09T01:43:27Z
67155,NVIDIAGeForceGTX1080,1654702170,E,2022-06-08 23:34:17,,2022-06-09T01:43:09Z
67157,NVIDIAGeForceGTX1080,1654702321,E,2022-06-08 23:34:48,2022-06-08 23:39:19,2022-06-09T01:45:18Z
67159,NVIDIAGeForceGTX1080,1654702436,E,2022-06-08 23:34:46,,2022-06-09T02:03:33Z
67161,NVIDIAGeForceGTX1080,1654702472,E,2022-06-08 23:35:20,2022-06-08 23:35:39,2022-06-09T01:42:12Z
67163,NVIDIAGeForceGTX1080,1654702499,E,2022-06-08 23:36:21,,2022-06-09T01:42:18Z
67166,NVIDIAGeForceGTX1080,1654702560,E,2022-06-08 23:36:47,2022-06-08 23:37:27,2022-06-09T01:42:12Z
67169,NVIDIAGeForceGTX1080,1654702597,E,2022-06-08 23:37:50,2022-06-08 23:41:41,2022-06-09T01:43:55Z
67173,NVIDIAGeForceGTX1080,1654702690,E,2022-06-08 23:39:50,2022-06-08 23:40:07,2022-06-09T01:42:10Z
67176,NVIDIAGeForceGTX1080,1654702261,E,2022-06-08 23:40:51,2022-06-08 23:51:54,2022-06-09T01:59:13Z
67180,NVIDIAGeForceGTX1080,1654702872,E,2022-06-08 23:42:24,,2022-06-09T01:43:30Z
67182,NVIDIAGeForceGTX1080,1654702200,E,2022-06-08 23:43:21,,2022-06-09T01:48:18Z
67184,NVIDIAGeForceGTX1080,1654702389,E,2022-06-08 23:43:51,2022-06-08 23:55:19,2022-06-09T02:06:24Z
67194,NVIDIATITANRTX,1654703030,E,2022-06-09 00:31:11,2022-06-09 00:31:29,2022-06-09T01:42:12Z
67200,NVIDIAGeForceRTX2080Ti,1654703073,E,2022-06-08 23:51:25,2022-06-08 23:51:42,2022-06-09T01:42:27Z
67203,NVIDIAGeForceRTX2080Ti,1654703466,E,2022-06-08 23:52:26,2022-06-08 23:52:43,2022-06-09T01:45:22Z
67204,NVIDIAGeForceGTX1080,1654703442,E,2022-06-08 23:52:25,,2022-06-09T01:45:07Z
67205,NVIDIAGeForceGTX1080,1654703496,E,2022-06-08 23:52:52,2022-06-08 23:53:40,2022-06-09T01:45:06Z
67206,NVIDIAGeForceRTX2080Ti,1654703285,E,2022-06-08 23:53:26,2022-06-08 23:54:25,2022-06-09T01:45:00Z
67207,NVIDIAGeForceGTX1080,1654703253,E,2022-06-08 23:54:25,,2022-06-09T01:43:51Z
67208,NVIDIAGeForceRTX2080Ti,1654703372,E,2022-06-08 23:54:56,,2022-06-09T02:08:22Z
67209,NVIDIAGeForceGTX1080,1654703192,E,2022-06-08 23:55:24,,2022-06-09T02:00:18Z
67210,NVIDIAGeForceRTX2080Ti,1654702226,E,2022-06-08 23:55:23,2022-06-09 00:01:13,2022-06-09T01:54:28Z
67211,NVIDIAGeForceGTX1080,1654702626,E,2022-06-08 23:55:54,,2022-06-09T02:11:43Z
67212,NVIDIAGeForceGTX1080,1654702771,E,2022-06-08 23:55:55,2022-06-09 00:14:35,2022-06-09T02:18:18Z
67213,NVIDIAGeForceGTX1080,1654703104,E,2022-06-08 23:56:24,,2022-06-09T02:23:45Z
67214,NVIDIAGeForceGTX1080,1654702408,E,2022-06-08 23:57:28,2022-06-09 00:19:35,2022-06-09T02:15:18Z
67215,NVIDIAGeForceRTX2080Ti,1654703343,E,2022-06-09 00:02:01,2022-06-09 00:12:57,2022-06-09T02:42:55Z
67216,NVIDIAGeForceRTX2080Ti,1654702743,E,2022-06-09 00:07:32,,2022-06-09T02:49:09Z
67217,NVIDIAGeForceRTX2080Ti,1654702347,E,2022-06-09 00:07:57,2022-06-09 00:25:52,2022-06-09T02:16:21Z
67219,NVIDIAGeForceRTX2080Ti,1654703318,E,2022-06-09 00:13:34,,2022-06-09T04:13:16Z
